Signal Legend:

Key        Signal Name

0        = fft_1024_16:fft_submod|fft_real_out[15..0]
1        = fft_1024_16:fft_submod|fft_imag_out[15..0]
2        = fft_1024_16:fft_submod|master_source_sop
3        = equal:equal1|out_sop
4        = korr:koor1|out_i
5        = equal:equal1|ocenka_2_i[31..0]
6        = equal:equal1|ocenka_1_i[31..0]
7        = equal:equal1|div:divI|denom[31..0]
8        = equal:equal1|div:divI|numer[31..0]
9        = equal:equal1|div:divI|quotient[31..0]
10       = equal:equal1|comp_div:comp_div1|div65:div1|quotient[63..0]
11       = equal:equal1|mid_ocenka_i[31..0]
12       = equal:equal1|comp_div:comp_div1|i_data[31..0]
13       = equal:equal1|comp_div:comp_div1|mid_ocenka_i[31..0]
14       = equal:equal1|o_data_i[15..0]
15       = equal:equal1|o_data_q[15..0]

Data Table:

Signals-> 0     1     2 3 4 5     6     7     8         9     10     11    12        13    14     15     

sample

-943      -1252 -361  0 0 0 20384 7024  1     1         1     -712   13704 21168128  13704 -2126  873    
-942      -1295 -368  0 0 0 20384 7024  1     1         1     610    13704 -14450688 13704 -712   -2185  
-941      -1383 -450  0 0 0 20384 7024  1     1         1     942    13704 -13336576 13704 610    2169   
-940      1075  548   0 0 0 20384 7024  1     1         1     -2153  13704 -38436864 13704 942    2276   
-939      417   -1273 0 0 0 20384 7024  1     1         9072  -742   13704 -39682048 13704 -2153  895    
-938      457   -1330 0 0 0 7024  9072  2048  13664257  1     590    13704 -20774912 13704 -742   -2074  
-937      -547  1108  0 0 0 7024  9072  1     1         1     1838   8048  18579456  8048  590    2453   
-936      1203  495   0 0 0 7024  9072  1     1         1     1924   8048  -17399808 8048  1838   -2049  
-935      462   -1311 0 0 0 7024  9072  1     1         1     2027   8048  -39256064 8048  1924   -2494  
-934      1195  446   0 0 0 7024  9072  1     1         1     2151   8048  40042496  8048  2027   1744   
-933      -1231 -588  0 0 0 7024  9072  1     1         1     2419   8048  -37289984 8048  2151   1850   
-932      1225  395   0 0 0 7024  9072  1     1         1     -1844  8048  -40304640 8048  2419   -2272  
-931      -476  1076  0 0 0 7024  9072  1     1         1     -1909  8048  -41025536 8048  -1844  2046   
-930      1364  425   0 0 0 7024  9072  1     1         1     -2120  8048  -42434560 8048  -1909  2428   
-929      -318  1130  0 0 0 7024  9072  1     1         6672  -2174  8048  -45318144 8048  -2120  -1778  
-928      -303  1344  0 0 0 9072  6672  -2048 -10420223 1     -2348  8048  35225600  8048  -2174  -1876  
-927      -1112 -400  0 0 0 9072  6672  1     1         1     2134   7872  13664256  7872  -2348  2158   
-926      -430  1302  0 0 0 9072  6672  1     1         1     -2146  7872  14974976  7872  2134   73     
